,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric
,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity
24,183.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,106.0,106.0,106.0,106.0,0.0,0.0,0.0,0,83,0,83,0,0,0,83,0,0,26.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0
25,174.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,130,130,0,130,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,256.0,0.0,256.0,0.0,256.0,0.0,0.0,0.0,0.0,256.0,,,,,,,,,,,0.0,0.0,0.0,54.0,54.0,0.0,54.0,0.0,0.0,0.0,0,345,0,0,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0
27,274.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,54.0,0,47,0,0,0,0,0,0,0,0,,,,,,,,,,
28,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,221.0,221.0,221.0,221.0,221.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
29,174.0,0.0,174.0,174.0,0.0,0.0,0.0,0.0,0.0,174.0,,,,,,,,,,,65.0,65.0,65.0,65.0,65.0,0.0,65.0,0.0,0.0,0.0,0,150,0,0,0,0,0,0,0,0,,,,,,,,,,
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,50,50,50,50,50,0,50,50,50,0,,,,,,,,,,
31,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,0,0,0,0,0,0,25,,,,,,,,,,
32,109.0,0.0,109.0,109.0,109.0,0.0,0.0,0.0,0.0,109.0,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0,25,0,25,0,0,25,0,0,0,,,,,,,,,,
33,748.0,748.0,748.0,748.0,748.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0,70,0,0,0,0,0,0,0,0,,,,,,,,,,
34,322.0,0.0,322.0,322.0,0.0,322.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85,0,0,0,0,85,0,0,0,,,,,,,,,,
35,156.0,0.0,156.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0,0,0,,,,,,,,,,
36,108.0,108.0,108.0,108.0,108.0,0.0,108.0,0.0,0.0,108.0,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,6.0,0,90,0,0,0,0,0,90,0,0,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,0,0,0,0,0,0,0,0,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68,0,0,0,0,0,0,0,0,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,0,0,0,0,0,0,0,43,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,44,0,0,44,0,0,0,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,109,0,109,0,0,109,0,109,0,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,118,0,0,0,118,118,0,0,0,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,0,0,0,0,0,0,0,0,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,85,0,0,0,0,0,0,0,0,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,199,0,0,0,0,0,0,0,0,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,157,0,0,0,0,0,0,0,0,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,64,0,0,0,0,0,0,0,0,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,124,0,0,0,0,124,0,0,0,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,31,31,31,0,31,0,0,0,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,57,0,0,0,0,0,0,0,0,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,0,0,0,0,60,0,0,0,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,0,0,0,0,0,0,0,0,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,83,0,83,0,0,0,0,0,0,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,0,0,0,0,0,0,0,0,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,0,0,0,0,0,0,0,0,,,,,,,,,,
