,Fully Charged Show battery,Fully Charged Show tesla,Fully Charged Show range,Fully Charged Show charging,Fully Charged Show charger,Fully Charged Show suv,Fully Charged Show network,Fully Charged Show rivian,Fully Charged Show electrify america,Fully Charged Show capacity,Bjorn Nyland battery,Bjorn Nyland tesla,Bjorn Nyland range,Bjorn Nyland charging,Bjorn Nyland charger,Bjorn Nyland suv,Bjorn Nyland network,Bjorn Nyland rivian,Bjorn Nyland electrify america,Bjorn Nyland capacity,Electric Vehicle Man battery,Electric Vehicle Man tesla,Electric Vehicle Man range,Electric Vehicle Man charging,Electric Vehicle Man charger,Electric Vehicle Man suv,Electric Vehicle Man network,Electric Vehicle Man rivian,Electric Vehicle Man electrify america,Electric Vehicle Man capacity,Now You Know battery,Now You Know tesla,Now You Know range,Now You Know charging,Now You Know charger,Now You Know suv,Now You Know network,Now You Know rivian,Now You Know electrify america,Now You Know capacity,E for Electric battery,E for Electric tesla,E for Electric range,E for Electric charging,E for Electric charger,E for Electric suv,E for Electric network,E for Electric rivian,E for Electric electrify america,E for Electric capacity
37,-238,-238,-238,-238,-238,0,-238,0,0,-238,,,,,,,,,,,-8,-8,-8,-8,-8,-8,-8,0,0,-8,0,-82,0,0,0,0,0,-82,0,0,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-74,0,0,0,0,0,0,0,0,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-84,0,0,0,0,0,0,0,0,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-56,0,0,0,0,0,0,0,-56,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-177,-177,-177,-177,0,0,-177,0,0,0,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-123,0,-123,0,0,-123,0,-123,0,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-254,0,0,0,-254,-254,0,0,0,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-31,0,0,0,0,0,0,0,0,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-57,0,0,0,0,0,0,0,0,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-271,-271,0,0,0,0,0,0,0,0,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-219,0,0,0,0,0,0,0,0,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-61,0,0,0,0,0,0,0,0,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-165,0,0,0,0,-165,0,0,0,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23,-23,-23,-23,-23,0,-23,0,0,0,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,-57,0,0,0,0,0,0,0,0,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-43,0,0,0,0,-43,0,0,0,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-28,0,0,0,0,0,0,0,0,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-63,0,-63,0,0,0,0,0,0,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-42,0,0,0,0,0,0,0,0,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-61,0,0,0,0,0,0,0,0,,,,,,,,,,
